,mon,osd,driver,worker,read,write,container,object,size,rt-read
1mon20osd_1driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151123112037,1,20,1,8,10,90,16,4096,0,44.109722222222224
1mon20osd_2driver_75read25write0delete_2worker_16container_4096object_512KB_180sec_20151123114057,1,20,2,2,75,25,16,4096,0,31.343611111111116
1mon20osd_4driver_25read75write0delete_32worker_16container_4096object_512KB_180sec_20151123160404,1,20,4,32,25,75,16,4096,0,32.92027027027027
1mon6osd_1driver_50read50write0delete_1worker_16container_4096object_512KB_180sec_20151124082255,1,6,1,1,50,50,16,4096,0,33.676944444444445
1mon20osd_1driver_0read100write0delete_8worker_16container_4096object_512KB_180sec_20151123112545,1,20,1,8,0,100,16,4096,0,0.0
1mon8osd_1driver_100read0write0delete_4worker_16container_4096object_512KB_180sec_20151124020812,1,8,1,4,100,0,16,4096,0,24.345555555555553
1mon4osd_4driver_90read10write0delete_32worker_16container_4096object_512KB_180sec_20151124211807,1,4,4,32,90,10,16,4096,0,77.17249999999999
1mon20osd_4driver_75read25write0delete_8worker_16container_4096object_512KB_180sec_20151123143916,1,20,4,8,75,25,16,4096,0,20.445555555555554
1mon6osd_1driver_100read0write0delete_4worker_16container_4096object_512KB_180sec_20151124091314,1,6,1,4,100,0,16,4096,0,31.38416666666666
1mon20osd_2driver_90read10write0delete_16worker_16container_4096object_512KB_180sec_20151123132130,1,20,2,16,90,10,16,4096,0,43.00513513513513
1mon20osd_1driver_25read75write0delete_4worker_16container_4096object_512KB_180sec_20151123103947,1,20,1,4,25,75,16,4096,0,49.643333333333324
1mon8osd_4driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151124062726,1,8,4,8,10,90,16,4096,0,20.29111111111111
1mon6osd_1driver_75read25write0delete_2worker_16container_4096object_512KB_180sec_20151124085006,1,6,1,2,75,25,16,4096,0,32.18138888888889
1mon30osd_2driver_50read50write0delete_8worker_16container_4096object_512KB_180sec_20151123051318,1,30,2,8,50,50,16,4096,0,25.096944444444446
1mon20osd_4driver_75read25write0delete_4worker_16container_4096object_512KB_180sec_20151123140308,1,20,4,4,75,25,16,4096,0,25.190833333333334
